operator;reference;license;rfc_date;raster;dl_normal;ul_normal;dl_max;ul_max
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26595E47377;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26596E47378;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26597E47362;30000000;4800000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26597E47363;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26597E47364;24000000;4200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26597E47387;24000000;4200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26597E47388;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26598E47386;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26598E47387;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26598E47388;60000000;10200000;100000000;17000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26599E47362;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26599E47366;24000000;4200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26599E47367;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26600E47376;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26600E47388;42000000;7200000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47360;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47361;138000000;22800000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47362;90000000;15000000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47363;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47366;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47367;123000000;20400000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47368;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26601E47388;48000000;7800000;205000000;34000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26602E47359;24000000;4200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26602E47360;126000000;21000000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26602E47361;129000000;21600000;230000000;38000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26602E47374;6000000;1200000;40000000;7000000
HGRAZ;F7/16;CCBY4.0;2023-11-09;100mN26602E47375;24000000;4200000;40000000;7000000
